property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,area,purpose,bedrooms,date_added,agency,agent,Area Type,Area Size,Area Category
8741235,1504,https://www.zameen.com/Property/rawalpindi_askari_14_askari14_sd_house_for_rent-8741235-1504-4.html,House,42000,Askari 14,Rawalpindi,Punjab,33.53856169,73.07012469,4,10 Marla,For Rent,3,7/8/2019,,,Marla,10,5-10 Marla
8749827,3675,https://www.zameen.com/Property/cantt_shami_road_51_marla_corner_house_available_for_sale_on_main_shami_road-8749827-3675-1.html,House,125000000,Cantt,Lahore,Punjab,31.51585,74.368329,10,2.6 Kanal,For Sale,10,5/3/2019,Matchless Estate & Builders,M. Imtiaz Khan,Kanal,2.6,1-5 Kanal
8750515,3100,https://www.zameen.com/Property/eden_eden_residencia_5_marla_double_storey_house_is_for_sale-8750515-3100-1.html,House,10500000,Eden,Lahore,Punjab,31.417824,74.282074,5,5 Marla,For Sale,4,7/3/2019,,,Marla,5,0-5 Marla
8753033,69,https://www.zameen.com/Property/lahore_cavalry_ground_house_is_available_for_sale-8753033-69-1.html,House,17500000,Cavalry Ground,Lahore,Punjab,31.49518809,74.3630641,5,10 Marla,For Sale,4,7/3/2019,,,Marla,10,5-10 Marla
8760344,1014,https://www.zameen.com/Property/lahore_paragon_city_5_marla_luxury_modern_house_for_sale-8760344-1014-1.html,House,11000000,Paragon City,Lahore,Punjab,31.534067,74.453945,4,5 Marla,For Sale,3,7/3/2019,,,Marla,5,0-5 Marla
8770310,9446,https://www.zameen.com/Property/lahore_mehar_fayaz_colony_fully_furnished_3_marla_house_for_sale-8770310-9446-1.html,House,6900000,Mehar Fayaz Colony,Lahore,Punjab,31.576632,74.40516,3,3 Marla,For Sale,3,7/3/2019,,,Marla,3,0-5 Marla
8770670,1549,https://www.zameen.com/Property/model_town_model_town_block_c_3_kanal_house_is_available_for_sale-8770670-1549-1.html,House,225000000,Model Town,Lahore,Punjab,31.492871,74.328074,0,3 Kanal,For Sale,0,7/3/2019,,,Kanal,3,1-5 Kanal
8775758,11350,https://www.zameen.com/Property/lahore_jinnah_colony_4_marla_house_is_available_for_sale__jinnah_colony_samanabad_lahore-8775758-11350-1.html,House,9000000,Jinnah Colony,Lahore,Punjab,31.42489,74.363461,5,4 Marla,For Sale,4,7/3/2019,,,Marla,4,0-5 Marla
8776530,1446,https://www.zameen.com/Property/dha_defence_dha_phase_4_brand_new_house_for_sale-8776530-1446-1.html,House,49900000,DHA Defence,Lahore,Punjab,31.465422,74.385309,6,1 Kanal,For Sale,6,7/3/2019,,,Kanal,1,1-5 Kanal
8776878,3759,https://www.zameen.com/Property/faisal_town_faisal_town_block_d_7_marla_house_is_available_for_sale-8776878-3759-1.html,House,17000000,Faisal Town,Lahore,Punjab,31.469009,74.309456,3,7 Marla,For Sale,3,7/3/2019,,,Marla,7,5-10 Marla
8779637,1503,https://www.zameen.com/Property/askari_askari_11_1_kanal_4_bedroom_brigadier_house_with_sui_gas_available_for_sale_in_sector_b_askari_11_lahore-8779637-1503-1.html,House,33500000,Askari,Lahore,Punjab,31.460187,74.432459,5,1 Kanal,For Sale,4,6/25/2019,Arazi Real Estate,Major Mehboob Retired,Kanal,1,1-5 Kanal
8780035,747,https://www.zameen.com/Property/lahore_hassan_town_5_marla_house_for_sale-8780035-747-1.html,House,7500000,Hassan Town,Lahore,Punjab,31.505514,74.265089,4,5 Marla,For Sale,3,7/3/2019,,,Marla,5,0-5 Marla
8785611,10522,https://www.zameen.com/Property/lahore_sajid_garden_new_house_is_available_for_sale-8785611-10522-1.html,House,8500000,Sajid Garden,Lahore,Punjab,31.58398,74.461377,4,5 Marla,For Sale,4,7/3/2019,,,Marla,5,0-5 Marla
8785735,1503,https://www.zameen.com/Property/askari_askari_11_top_location__10_marla_3_bedroom_house_for_sale_in_sector_b_for_sale_in_askari_11_lahore-8785735-1503-1.html,House,20500000,Askari,Lahore,Punjab,31.460187,74.432459,3,10 Marla,For Sale,3,6/25/2019,Arazi Real Estate,Major Mehboob (Retired),Marla,10,5-10 Marla
8785740,1503,https://www.zameen.com/Property/askari_askari_11_good_opportunity_10_marla_4_bedroom_house_for_sale_in_sector_b_in_askari_11_lahore-8785740-1503-1.html,House,22000000,Askari,Lahore,Punjab,31.460187,74.432459,4,10 Marla,For Sale,4,6/25/2019,Arazi Real Estate,Major Mehboob (Retired),Marla,10,5-10 Marla
8785870,1790,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_tulip_extension_house_is_available_for_sale-8785870-1790-1.html,House,7800000,Bahria Town,Lahore,Punjab,31.3680304,74.1881093,1,5 Marla,For Sale,1,7/3/2019,,,Marla,5,0-5 Marla
8785969,1503,https://www.zameen.com/Property/askari_askari_11_10_marla_6th_floor_flat_for_sale_in_askari_11_lahore-8785969-1503-1.html,Flat,11000000,Askari,Lahore,Punjab,31.460187,74.432459,3,10 Marla,For Sale,3,7/3/2019,,,Marla,10,5-10 Marla
8786015,1503,https://www.zameen.com/Property/askari_askari_11_good_opportunity_10_marla_3_bedroom_flat_for_sale_in_sector_b_askari_11_lahore-8786015-1503-1.html,Flat,15500000,Askari,Lahore,Punjab,31.460187,74.432459,3,10 Marla,For Sale,3,6/25/2019,Arazi Real Estate,Major Mehboob Retired,Marla,10,5-10 Marla
8788879,4501,https://www.zameen.com/Property/lahore_salamatpura_3_marla_house_for_sale-8788879-4501-1.html,House,4150000,Salamatpura,Lahore,Punjab,31.582849,74.417009,3,3 Marla,For Sale,2,7/3/2019,,,Marla,3,0-5 Marla
8792199,67,https://www.zameen.com/Property/lahore_canal_view_house_is_available_for_sale-8792199-67-1.html,House,32500000,Canal View,Lahore,Punjab,31.478159,74.254017,0,1.7 Kanal,For Sale,7,7/3/2019,,,Kanal,1.7,1-5 Kanal
8797704,325,https://www.zameen.com/Property/lahore_mustafa_town_3_marla_house_ideal_location_facing_park-8797704-325-1.html,House,6500000,Mustafa Town,Lahore,Punjab,31.4935025,74.27807093,3,3 Marla,For Sale,3,7/3/2019,,,Marla,3,0-5 Marla
8798716,3748,https://www.zameen.com/Property/eme_society_eme_society_block_d_one_kanal_house_with_basement-8798716-3748-1.html,House,39500000,EME Society,Lahore,Punjab,31.434668,74.214005,5,1 Kanal,For Sale,5,7/3/2019,,,Kanal,1,1-5 Kanal
8800982,562,https://www.zameen.com/Property/lahore_sabzazar_scheme_house_for_sale-8800982-562-1.html,House,6250000,Sabzazar Scheme,Lahore,Punjab,31.523532,74.263744,0,3 Marla,For Sale,0,7/3/2019,,,Marla,3,0-5 Marla
8802167,1040,https://www.zameen.com/Property/lahore_garhi_shahu_5_marla_house_for_sale-8802167-1040-1.html,House,10000000,Garhi Shahu,Lahore,Punjab,31.56625,74.344125,4,5 Marla,For Sale,7,7/3/2019,,,Marla,5,0-5 Marla
8803462,8,https://www.zameen.com/Property/lahore_model_town_2_house_for_sale-8803462-8-1.html,House,85000000,Model Town,Lahore,Punjab,31.478891,74.329348,4,2 Kanal,For Sale,6,7/3/2019,,,Kanal,2,1-5 Kanal
8803749,1448,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_house-8803749-1448-1.html,House,45000000,DHA Defence,Lahore,Punjab,31.471571,74.445906,5,1 Kanal,For Sale,5,7/3/2019,,,Kanal,1,1-5 Kanal
8803967,444,https://www.zameen.com/Property/lahore_pia_housing_scheme_house_for_sale-8803967-444-1.html,House,17000000,PIA Housing Scheme,Lahore,Punjab,31.44785,74.278207,5,10 Marla,For Sale,5,7/3/2019,,,Marla,10,5-10 Marla
8804119,489,https://www.zameen.com/Property/lahore_mughalpura_house_for_sale-8804119-489-1.html,House,6500000,Mughalpura,Lahore,Punjab,31.571516,74.36708,2,4 Marla,For Sale,4,7/3/2019,,,Marla,4,0-5 Marla
